   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 11/06/14
 -13.27195 -13.33813 -13.42809 -13.49214 -13.53912 -13.55073 -13.52901 -13.50319
 -12.48587 -12.51709 -12.55141 -12.59913 -12.63688 -12.67730 -12.73669 -12.78574
 -12.83705 -12.90864 -12.96641 -13.02770 -13.11236 -13.17798 -13.24430 -13.33128
 -13.39497 -13.45675 -13.54426 -13.61038 -13.66300 -13.69086 -13.68666 -13.67908
 -12.62448 -12.65494 -12.68869 -12.73565 -12.77247 -12.81143 -12.86878 -12.91575
 -12.96379 -13.03159 -13.08687 -13.14460 -13.22361 -13.28430 -13.34476 -13.42404
 -13.48248 -13.53950 -13.62238 -13.68732 -13.74162 -13.77662 -13.78031 -13.78094
 -12.78836 -12.81643 -12.84858 -12.89438 -12.93021 -12.96720 -13.01967 -13.06298
 -13.10938 -13.17319 -13.22331 -13.27593 -13.34704 -13.40085 -13.45445 -13.52369
 -13.57466 -13.62596 -13.70279 -13.76478 -13.81912 -13.85853 -13.86755 -13.87377
 -12.98689 -13.01239 -13.04116 -13.08315 -13.11662 -13.15079 -13.19941 -13.23917
 -13.28052 -13.33734 -13.38172 -13.42698 -13.48803 -13.53415 -13.57888 -13.63566
 -13.67773 -13.72127 -13.78997 -13.84853 -13.90291 -13.94537 -13.95743 -13.96679
 -13.12893 -13.15367 -13.18143 -13.22017 -13.25039 -13.28202 -13.32710 -13.36347
 -13.40104 -13.45249 -13.49225 -13.53201 -13.58511 -13.62503 -13.66353 -13.71261
 -13.74922 -13.78736 -13.84985 -13.90538 -13.95884 -14.00293 -14.01743 -14.02939
 -13.33032 -13.35205 -13.37545 -13.40968 -13.43737 -13.46532 -13.50424 -13.53571
 -13.56832 -13.61167 -13.64422 -13.67668 -13.71863 -13.74876 -13.77735 -13.81733
