   74    /W   IONISATION RATE COEFFICIENTS   /
 1.619E-15 1.275E-12 1.279E-11 4.099E-11 7.758E-11 8.804E-11
 8.484E-11 7.000E-11 5.706E-11 4.503E-11 3.197E-11 2.438E-11
W +48/W +49/   12/I.P. =         34754412.0/ICODE =  1/FCODE =  1/ISEL =  49
 4.136E+02 1.034E+03 2.068E+03 4.136E+03 1.034E+04 2.068E+04
 4.136E+04 1.034E+05 2.068E+05 4.136E+05 1.034E+06 2.068E+06
 1.600E-15 1.190E-12 1.164E-11 3.670E-11 6.887E-11 7.783E-11
 7.467E-11 6.144E-11 4.984E-11 3.930E-11 2.785E-11 2.121E-11
W +49/W +50/   12/I.P. =         35859392.0/ICODE =  1/FCODE =  1/ISEL =  50
 4.308E+02 1.077E+03 2.154E+03 4.308E+03 1.077E+04 2.154E+04
 4.308E+04 1.077E+05 2.154E+05 4.308E+05 1.077E+06 2.154E+06
 1.438E-15 1.056E-12 1.028E-11 3.227E-11 6.036E-11 6.803E-11
 6.519E-11 5.350E-11 4.342E-11 3.429E-11 2.428E-11 1.850E-11
W +50/W +51/   12/I.P. =         36924044.0/ICODE =  1/FCODE =  1/ISEL =  51
 4.481E+02 1.120E+03 2.240E+03 4.481E+03 1.120E+04 2.240E+04
 4.481E+04 1.120E+05 2.240E+05 4.481E+05 1.120E+06 2.240E+06
 1.332E-15 9.487E-13 9.122E-12 2.849E-11 5.296E-11 5.959E-11
 5.695E-11 4.678E-11 3.797E-11 2.983E-11 2.114E-11 1.611E-11
W +51/W +52/   12/I.P. =         37980628.0/ICODE =  1/FCODE =  1/ISEL =  52
 4.662E+02 1.163E+03 2.327E+03 4.662E+03 1.163E+04 2.327E+04
 4.662E+04 1.163E+05 2.327E+05 4.662E+05 1.163E+06 2.327E+06
 1.287E-15 8.562E-13 8.107E-12 2.515E-11 4.641E-11 5.202E-11
 4.967E-11 4.073E-11 3.299E-11 2.602E-11 1.842E-11 1.403E-11
W +52/W +53/   12/I.P. =         39738916.0/ICODE =  1/FCODE =  1/ISEL =  53
 4.843E+02 1.206E+03 2.421E+03 4.843E+03 1.206E+04 2.421E+04
 4.843E+04 1.206E+05 2.421E+05 4.843E+05 1.206E+06 2.421E+06
 1.057E-15 7.240E-13 6.979E-12 2.157E-11 3.973E-11 4.458E-11
 4.251E-11 3.481E-11 2.827E-11 2.224E-11 1.578E-11 1.203E-11
W +53/W +54/   12/I.P. =         40835828.0/ICODE =  1/FCODE =  1/ISEL =  54
 5.024E+02 1.258E+03 2.516E+03 5.024E+03 1.258E+04 2.516E+04
 5.024E+04 1.258E+05 2.516E+05 5.024E+05 1.258E+06 2.516E+06
 9.231E-16 6.360E-13 6.007E-12 1.845E-11 3.394E-11 3.796E-11
 3.624E-11 2.964E-11 2.398E-11 1.886E-11 1.340E-11 1.023E-11
W +54/W +55/   12/I.P. =         42013400.0/ICODE =  1/FCODE =  1/ISEL =  55
 5.213E+02 1.301E+03 2.611E+03 5.213E+03 1.301E+04 2.611E+04
 5.213E+04 1.301E+05 2.611E+05 5.213E+05 1.301E+06 2.611E+06
 7.218E-16 5.203E-13 5.029E-12 1.555E-11 2.860E-11 3.202E-11
 3.051E-11 2.499E-11 2.030E-11 1.598E-11 1.137E-11 8.671E-12
W +55/W +56/   12/I.P. =         43134508.0/ICODE =  1/FCODE =  1/ISEL =  56
 5.403E+02 1.353E+03 2.706E+03 5.403E+03 1.353E+04 2.706E+04
 5.403E+04 1.353E+05 2.706E+05 5.403E+05 1.353E+06 2.706E+06
 6.005E-16 4.410E-13 4.208E-12 1.297E-11 2.394E-11 2.680E-11
 2.551E-11 2.095E-11 1.703E-11 1.342E-11 9.579E-12 7.330E-12
W +56/W +57/   12/I.P. =         46126824.0/ICODE =  1/FCODE =  1/ISEL =  57
 5.601E+02 1.396E+03 2.801E+03 5.601E+03 1.396E+04 2.801E+04
 5.601E+04 1.396E+05 2.801E+05 5.601E+05 1.396E+06 2.801E+06
 5.750E-16 4.323E-13 4.866E-12 1.713E-11 3.516E-11 4.207E-11
 4.259E-11 3.741E-11 3.190E-11 2.627E-11 1.964E-11 1.546E-11
W +57/W +58/   12/I.P. =         47102752.0/ICODE =  1/FCODE =  1/ISEL =  58
 5.799E+02 1.448E+03 2.895E+03 5.799E+03 1.448E+04 2.895E+04
 5.799E+04 1.448E+05 2.895E+05 5.799E+05 1.448E+06 2.895E+06
 5.510E-16 4.083E-13 4.566E-12 1.598E-11 3.261E-11 3.889E-11
 3.936E-11 3.464E-11 2.955E-11 2.439E-11 1.826E-11 1.441E-11
W +58/W +59/   12/I.P. =         48151272.0/ICODE =  1/FCODE =  1/ISEL =  59
 5.997E+02 1.499E+03 2.999E+03 5.997E+03 1.499E+04 2.999E+04
 5.997E+04 1.499E+05 2.999E+05 5.997E+05 1.499E+06 2.999E+06
 5.051E-16 3.817E-13 4.290E-12 1.495E-11 3.026E-11 3.596E-11
 3.630E-11 3.208E-11 2.743E-11 2.270E-11 1.700E-11 1.344E-11
W +59/W +60/   12/I.P. =         49143336.0/ICODE =  1/FCODE =  1/ISEL =  60
 6.204E+02 1.551E+03 3.102E+03 6.204E+03 1.551E+04 3.102E+04
 6.204E+04 1.551E+05 3.102E+05 6.204E+05 1.551E+06 3.102E+06
 4.534E-16 3.551E-13 4.045E-12 1.397E-11 2.804E-11 3.323E-11
 3.363E-11 2.975E-11 2.552E-11 2.112E-11 1.587E-11 1.256E-11
W +60/W +61/   12/I.P. =         53200304.0/ICODE =  1/FCODE =  1/ISEL =  61
 6.411E+02 1.603E+03 3.206E+03 6.411E+03 1.603E+04 3.206E+04
 6.411E+04 1.603E+05 3.206E+05 6.411E+05 1.603E+06 3.206E+06
 2.645E-16 3.049E-13 3.690E-12 1.279E-11 2.557E-11 3.036E-11
 3.078E-11 2.735E-11 2.351E-11 1.950E-11 1.473E-11 1.166E-11
W +61/W +62/   12/I.P. =         54321412.0/ICODE =  1/FCODE =  1/ISEL =  62
 6.626E+02 1.654E+03 3.309E+03 6.626E+03 1.654E+04 3.309E+04
 6.626E+04 1.654E+05 3.309E+05 6.626E+05 1.654E+06 3.309E+06
 2.326E-16 2.929E-13 3.524E-12 1.209E-11 2.389E-11 2.826E-11
 2.863E-11 2.553E-11 2.199E-11 1.829E-11 1.385E-11 1.099E-11
W +62/W +63/   12/I.P. =         56458780.0/ICODE =  1/FCODE =  1/ISEL =  63
 6.842E+02 1.706E+03 3.421E+03 6.842E+03 1.706E+04 3.421E+04
 6.842E+04 1.706E+05 3.421E+05 6.842E+05 1.706E+06 3.421E+06
 1.950E-16 2.827E-13 3.413E-12 1.144E-11 2.229E-11 2.628E-11
 2.669E-11 2.385E-11 2.058E-11 1.718E-11 1.303E-11 1.033E-11
W +63/W +64/   12/I.P. =         57507300.0/ICODE =  1/FCODE =  1/ISEL =  64
